m/z	RT
1022.9704	18.393
666.619	22.836
400.3078	2.851
800.5789	4.532
215.0929	23.105
744.6307	2.824
1017.9362	18.037
737.5852	7.067
826.5963	5.914
907.8519	18.722
806.5671	7.75
758.6261	8.461
508.3762	2.413
370.3551	22.733
806.7233	17.218
1299.2485	18.393
787.6603	9.888
816.6224	7.368
1449.1425	8.735
782.5599	6.328
787.594	7.75
906.8394	18.42
393.29	3.598
730.5388	6.08
717.5909	7.586
774.5649	7.45
1013.6534	2.003
370.3548	17.627
1309.2492	18.393
370.3557	23.039
718.5754	8.899
764.5228	7.121
663.5716	15.68
670.6209	16.834
809.7424	17.573
916.7966	16.009
972.7717	16.278
720.5908	9.146
804.5509	7.122
782.6148	8.434
1388.1917	15.269
799.5684	4.809
547.3559	2.632
726.5789	8.762
767.5594	6.82
765.6396	8.405
844.654	8.789
1358.2649	16.834
682.4873	8.707
776.5795	8.434
829.6318	6.656
763.6048	9.64
733.6132	8.243
880.8333	18.722
797.6259	9.421
369.3516	23.203
926.817	18.092
802.5959	8.871
360.3158	2.851
829.6318	6.574
786.577	8.735
568.3394	1.645
698.6082	14.858
687.6477	18.502
1221.0902	11.152
228.1958	2.936
1306.148	8.352
369.3615	17.983
810.6568	8.734
832.5829	8.57
927.8209	17.955
1387.1881	15.269
665.4606	8.762
800.58	4.67
649.4654	12.838
726.6394	15.186
666.6371	18.037
1018.9396	18.037
613.5601	11.125
370.3578	7.067
769.7113	17.3
1312.1758	17.627
1023.9743	18.393
360.3236	4.369
593.5983	12.035
1311.1725	17.627
904.635	6.657
683.6166	18.037
638.5168	11.125
826.5961	5.583
584.557	11.098
369.3514	17.409
369.353	16.725
563.5202	8.161
745.5574	6.711
808.5847	6.957
800.6727	10.658
895.7578	16.834
782.5459	7.148
588.3898	1.921
687.6482	23.037
803.5996	5.141
556.5346	10.934
980.6717	2.028
853.7957	18.092
1026.9927	18.393
649.4654	12.92
780.7078	17.163
1221.0904	11.071
806.5671	7.53
932.8274	17.764
786.625	8.762
815.6358	9.97
666.6186	23.38
1023.7219	2.028
1194.8178	7.368
908.7824	15.818
1000.8028	16.665
915.8116	17.791
726.6394	15.269
524.3616	2.111
799.5684	4.532
1224.1031	11.098
770.6063	8.598
838.7865	18.229
646.6222	11.125
800.5801	4.285
706.5938	7.394
777.5833	8.513
887.7896	17.627
739.5662	8.926
814.5596	3.07
731.5974	7.093
799.5686	4.45
767.6954	16.834
674.6628	18.393
283.263	2.849
790.5593	7.394
926.8007	17.6
615.5756	11.125
680.6344	18.201
642.6096	17.955
487.3453	2.193
228.1957	2.799
864.7926	17.928
781.5544	7.422
833.5885	6.958
650.6447	15.296
736.5761	8.216
1006.6871	2.139
364.3379	2.849
864.5612	6.301
671.653	22.836
747.6102	9.255
813.62	8.843
638.5168	11.207
1329.2857	18.393
776.5456	6.684
858.7547	17.272
973.7748	16.174
715.6787	17.354
923.7892	17.573
783.638	8.57
833.6508	9.888
809.7424	17.518
1342.2227	18.092
1022.6631	7.75
710.6445	15.397
768.5901	8.325
693.6291	18.01
971.6778	2.193
264.2686	8.216
654.6188	18.201
787.5978	8.379
782.5933	7.149
796.7298	17.301
1278.3534	16.943
1017.6872	2.056
773.5892	7.832
917.6476	6.41
687.6478	18.42
689.6544	16.834
1237.1567	17.928
360.3158	3.433
369.3518	22.964
803.5997	5.251
690.5624	6.301
549.3683	2.085
1454.0039	2.193
834.599	9.145
1382.1928	15.214
805.5543	7.204
548.3706	2.221
739.601	8.243
841.6258	7.121
783.5728	6.902
581.5439	6.63
582.5506	8.735
1277.3547	16.943
1292.198	17.955
770.5969	7.997
739.5648	8.707
823.6691	8.405
1384.1381	15.214
930.8119	17.491
768.5536	6.52
920.3116	15.79
700.6147	15.214
726.56	6.903
772.6223	9.64
781.5542	7.312
1307.1514	8.351
889.7684	15.324
814.5599	4.45
231.2511	1.594
920.7702	17.19
838.5593	2.961
496.3274	2.004
808.5758	6.328
774.657	10.438
739.6345	15.269
799.5675	7.148
770.6068	9.421
287.3138	3.267
768.5815	7.75
1012.7219	2.141
904.5904	6.52
354.3366	4.366
649.5919	18.037
864.5612	6.493
563.5202	8.297
914.7806	15.434
228.232	2.086
1204.3347	16.697
706.5837	6.876
522.3454	1.757
683.6168	15.406
449.3371	3.596
814.5602	4.753
496.3514	2.003
633.5827	11.316
662.5964	8.543
584.5566	6.63
759.5492	7.368
1385.1415	15.214
1024.9816	18.393
637.5601	10.106
756.6499	15.187
272.2222	1.033
582.5504	6.957
248.2452	2.849
926.8013	17.516
370.3551	18.859
799.5679	4.257
372.3703	22.836
849.7637	17.382
1352.3722	17.162
646.6222	11.016
761.6446	9.696
672.5797	15.324
800.5802	7.777
786.6198	8.735
792.5903	7.668
1386.017	8.735
1341.2193	18.092
846.7455	17.026
839.6364	9.558
596.5272	10.934
740.6764	16.834
1054.7688	2.114
811.7581	17.901
1364.1918	15.324
1306.2308	18.393
1363.1885	15.324
826.5962	5.251
816.708	16.559
814.5595	4.23
1203.336	16.67
671.5762	15.05
1000.8024	16.775
1307.2376	18.393
929.8358	18.174
671.6531	23.38
927.8205	18.092
371.3641	16.834
784.6812	15.215
917.6477	6.356
770.5607	6.629
799.6216	6.656
745.5942	9.091
397.347	2.303
367.3358	14.858
373.3736	16.834
759.5945	7.394
934.8074	16.367
1049.7377	2.114
752.5601	9.531
690.5628	6.22
1196.0808	10.988
818.591	8.871
917.7998	16.009
822.565	4.725
1450.052	8.735
1305.2267	18.393
466.3524	3.62
647.576	15.187
913.7962	17.464
507.3213	2.275
930.8484	18.475
756.6501	15.269
703.6607	11.153
505.5172	8.243
765.6343	8.432
800.5938	3.598
634.5413	8.926
693.6283	17.819
760.5632	8.407
1279.2108	18.393
774.5991	6.63
819.5945	5.113
921.3124	15.79
644.5987	11.098
510.3918	2.989
562.3265	2.605
1129.3172	16.394
1224.103	11.18
620.5968	11.125
764.6766	16.367
707.6166	15.324
225.1962	1.116
794.7236	17.627
577.519	11.098
1195.8211	7.395
482.324	1.756
305.3031	1.506
817.7066	12.92
973.7749	16.278
167.0337	3.598
1351.3733	17.19
368.3392	15.187
782.7234	17.491
926.8079	17.71
698.6085	18.092
644.6382	8.297
917.8274	18.092
672.6572	23.093
798.5654	3.623
694.6495	18.037
158.0281	22.733
384.2721	7.095
809.5782	6.821
1449.0484	8.735
1130.3157	16.394
832.7391	17.3
766.5964	8.407
676.6327	11.098
1276.354	16.943
590.5658	10.988
1387.0204	8.735
742.6275	2.821
429.2398	3.623
994.3308	16.257
762.5803	7.394
611.5442	9.914
481.3481	2.193
868.7393	16.752
639.5755	11.316
707.645	17.983
837.6202	9.091
745.6894	16.835
827.7856	17.71
803.5988	8.707
668.6342	22.733
310.3106	3.404
767.5588	0.732
1426.3907	17.381
877.7251	17.464
374.3782	7.067
784.6814	15.269
1298.1777	18.037
787.5942	7.53
826.7769	18.092
934.8433	18.147
795.6102	9.146
687.5689	15.434
881.8367	18.722
960.8587	17.791
916.8156	17.791
1299.1804	18.037
862.6247	6.656
771.6091	8.325
1349.1999	15.406
1404.1863	15.187
687.648	22.733
796.6225	9.009
1202.3354	16.67
855.8175	23.038
511.3583	2.275
842.7237	16.669
823.5678	4.147
1279.3528	16.943
784.7106	17.573
1014.6567	2.003
875.6006	6.383
868.739	16.834
776.571	4.147
796.6128	8.106
810.5917	7.668
807.7269	17.218
888.7653	17.489
814.559	7.175
808.739	17.873
668.6348	23.039
659.6175	11.098
158.027	20.932
898.7766	17.354
645.5606	15.214
933.831	17.791
887.6372	6.41
601.5644	11.125
719.5694	6.41
734.5604	7.121
1403.1829	15.16
844.5863	6.383
995.3315	16.257
800.6728	10.382
295.2267	15.187
774.6015	8.871
1049.7407	2.605
920.7702	17.026
744.5814	7.997
372.3704	23.38
796.5854	7.614
687.6475	17.027
904.6353	6.93
901.7946	17.518
646.6221	11.235
797.5888	7.832
954.8328	17.955
410.7615	7.122
666.6039	18.01
775.6049	9.091
824.5802	4.369
1128.3164	16.394
600.5948	8.243
815.6914	11.454
694.6502	18.338
295.2268	15.269
830.5546	3.07
894.7546	17.026
703.5658	5.804
790.5742	7.395
874.7578	17.791
634.586	11.125
817.626	7.45
798.7456	17.71
932.8646	18.749
896.8433	18.037
774.5651	3.872
827.5997	5.915
809.5882	6.929
1455.0076	2.193
279.2319	15.406
793.594	7.887
747.5733	7.75
703.6606	11.016
1001.806	16.665
668.6056	16.092
733.6218	8.816
906.8119	17.737
739.5651	8.871
743.1298	2.849
519.3245	1.977
826.5961	8.513
799.6214	6.602
525.3741	2.114
1328.13	8.352
586.3802	1.921
1356.2555	16.834
822.5646	4.45
1148.8429	7.394
345.324	11.125
1344.9345	8.735
768.554	8.844
362.3242	2.826
1425.392	17.381
838.7772	17.928
708.5119	8.676
641.5121	10.106
1069.7162	2.606
1280.2151	18.393
226.6864	18.01
807.5704	7.75
996.3298	16.257
805.5542	7.122
723.5414	5.776
812.6076	8.161
554.3924	2.027
462.1468	5.419
1473.479	2.221
767.5596	7.477
468.3084	1.561
839.7899	18.229
728.674	16.834
815.6259	9.118
745.5518	8.871
760.6086	8.405
703.5634	15.269
724.6603	17.983
862.7768	17.6
685.632	16.092
820.7297	16.944
845.6576	8.762
842.591	5.831
1408.1492	6.875
697.5542	8.543
664.5749	15.68
783.705	17.573
892.8334	18.557
243.117	5.914
1472.9767	2.193
826.5954	6.328
723.5485	8.735
372.3772	18.368
740.6551	15.434
769.5596	7.395
922.3101	15.79
181.0719	0.674
1205.3341	16.67
1353.3716	17.162
836.7707	18.174
1389.195	15.269
803.5996	8.871
727.6428	15.186
697.5546	6.958
667.6399	18.037
905.6383	6.656
644.6382	8.216
934.7978	15.9
723.5866	8.762
546.3529	2.468
776.5454	6.574
817.6258	7.339
787.5801	8.735
362.3382	2.849
744.555	9.063
664.6028	15.406
694.6411	18.147
550.3864	2.687
723.6399	15.434
408.3082	2.799
825.7643	17.71
834.755	17.873
647.5763	15.05
371.2647	6.985
819.5166	3.598
437.3452	3.598
614.4137	2.004
874.8138	17.791
786.6199	8.816
1267.204	18.393
372.3631	18.393
707.541	6.931
838.6232	8.625
766.6422	8.405
534.295	1.974
892.7966	18.112
796.5249	7.395
882.8271	18.037
951.8935	19.521
644.5987	11.207
768.563	6.793
864.6219	6.821
770.5697	7.093
958.8433	17.491
878.7982	17.79
724.528	8.134
688.6513	18.502
1372.1964	15.406
795.5912	8.513
906.7662	15.132
931.8155	17.491
770.0613	7.368
830.638	8.757
643.6031	11.152
796.5472	4.147
685.6322	16.444
215.0896	22.733
812.6164	6.656
372.3806	18.42
160.6818	8.762
911.7313	15.817
403.2325	1.671
715.6786	16.834
714.6584	16.835
927.8041	17.599
372.3709	22.939
676.6328	11.262
723.5906	8.73
699.6117	14.858
800.5726	4.808
890.8084	17.955
722.5112	8.707
738.5887	7.067
787.6279	8.762
745.6227	8.981
1018.691	2.056
798.6003	8.434
690.6094	17.409
1366.2136	17.819
731.542	6.08
781.7111	17.163
1350.3728	17.19
758.56	6.465
787.5853	6.629
703.6434	23.037
798.601	8.216
874.7635	17.791
687.6483	23.093
876.6431	7.368
623.5462	11.262
765.5263	7.122
710.6444	15.488
381.3645	2.849
721.5942	9.146
617.5708	11.097
1353.1521	15.434
794.6059	8.762
827.5996	5.583
667.6027	18.037
226.6864	18.368
807.6357	9.888
429.3727	8.27
921.7738	17.19
1197.0846	10.988
737.6228	16.725
904.7962	17.382
585.5756	8.243
828.7953	18.037
818.5908	8.926
1313.1792	17.627
930.7763	15.543
303.2318	0.617
674.6095	11.234
801.582	4.532
776.571	4.259
1352.1487	15.434
842.6382	7.75
1359.2686	16.834
889.7954	17.737
1371.1933	15.379
544.5479	8.216
816.5757	4.45
1069.3508	16.615
677.6829	4.369
371.3642	23.039
803.6911	11.98
1310.2529	18.393
319.3084	11.125
756.5702	6.602
796.5471	4.23
783.5482	7.149
669.6365	18.037
674.6093	11.07
833.5863	8.57
673.5918	17.819
373.3739	23.039
830.6352	6.656
547.3584	1.892
1301.1168	8.351
746.597	8.216
1068.35	16.615
924.7921	17.382
718.5942	7.53
801.584	4.45
582.5502	7.122
703.6606	11.262
818.6058	7.75
1268.2073	18.42
667.6222	23.203
791.6258	9.832
483.3639	2.303
524.3577	2.607
1427.39	17.381
828.5509	6.821
1055.298	15.982
859.7583	17.3
703.5949	6.875
243.2107	18.01
808.5831	8.844
738.6611	16.285
769.5595	7.45
750.5435	8.243
793.5276	8.707
696.596	16.725
981.6752	2.03
317.2987	11.125
915.7842	15.434
1001.8058	16.775
914.8001	17.491
681.6378	18.174
1052.7594	2.114
801.5837	4.67
343.3144	11.125
670.648	23.039
771.6095	8.57
719.5788	8.899
369.3519	23.601
751.6012	7.75
816.5754	4.285
765.6458	8.461
781.6201	9.695
715.5744	6.438
215.0891	18.502
994.6806	2.003
671.6247	16.834
958.843	17.846
727.643	15.269
694.6329	17.983
876.6431	7.422
688.651	18.42
796.6214	8.734
1294.1454	15.406
935.8107	16.367
801.5837	4.285
828.6118	5.749
501.3342	2.245
791.5625	7.394
581.5438	6.383
671.5736	17.955
892.7877	15.982
961.8619	17.791
794.7144	16.944
808.583	8.735
703.5546	6.848
1295.1488	15.434
842.5913	5.5
1320.2236	18.01
687.5702	15.05
655.6221	18.174
796.5247	7.313
854.8083	18.365
711.6479	15.379
541.552	8.243
340.3479	4.369
582.4239	2.606
773.7206	16.834
876.7729	18.092
1120.0253	8.216
842.5912	5.251
904.675	8.762
817.7064	12.818
