m/z	RT
760.5661	8.412
243.2106	18.392
1069.3496	16.611
865.8053	18.255
1306.2299	18.419
1294.3646	12.356
1335.2292	18.419
1194.8167	7.396
692.6342	18.117
1297.363	12.356
642.5866	15.013
1029.2905	16.995
1068.349	16.611
1219.0736	12.658
821.4923	2.689
572.3299	1.056
767.2273	15.619
860.7701	17.707
806.7232	17.597
1210.8031	2.881
512.309	1.056
1001.2874	7.896
669.6389	23.23
1100.8116	17.214
876.6423	7.396
1232.0377	12.631
398.23	0.755
908.5085	0.837
1223.3427	11.189
1424.39	17.378
314.2766	12.685
642.5869	15.067
642.6165	15.068
669.6282	18.035
902.6075	2.855
846.2919	14.986
661.9674	4.542
550.5554	16.501
972.8172	18.611
738.5446	15.068
790.6553	11.102
1302.9524	4.514
622.4284	3.574
802.5226	2.523
774.675	17.378
890.8172	18.31
824.7606	17.762
696.6485	18.392
850.7763	17.789
934.88	19.107
622.457	3.574
398.2298	0.975
740.5177	3.606
1336.2325	18.446
1369.384	13.877
817.6249	7.382
1070.348	16.61
656.582	14.986
666.4338	0.7
1139.8192	17.324
612.213	1.001
709.66	18.446
906.6895	9.834
853.8046	18.392
545.2287	0.975
445.1201	5.406
689.9986	5.626
897.7731	17.159
691.8716	1.056
684.6294	23.065
1103.3098	17.214
496.3396	2.001
876.4733	2.468
701.6474	12.685
622.4287	3.606
818.5137	1.781
693.6291	18.035
783.7262	17.515
1057.2954	16.006
369.3423	18.364
1322.9281	4.514
657.6212	15.068
955.2718	16.693
774.563	7.437
839.7896	18.227
686.6285	12.658
656.601	12.658
664.457	8.724
1143.3682	16.913
671.6379	16.033
908.8646	19.024
687.5903	16.913
681.4837	8.724
792.7068	17.433
989.2831	16.83
694.6494	18.035
814.6059	6.596
780.707	17.488
1213.3387	17.515
1065.8007	17.077
701.6475	12.794
898.7859	17.707
730.632	17.433
310.2375	1.699
1022.9715	18.392
759.5538	7.409
794.5087	6.65
368.339	18.063
762.601	9.67
654.6022	15.068
641.5824	12.849
1195.82	7.396
703.6215	17.597
1371.3821	13.877
493.2151	1.029
1296.2303	18.419
952.2739	16.693
186.0584	23.865
1142.3676	16.885
664.6027	17.652
802.6249	11.107
724.66	18.008
1144.3665	16.913
673.5892	18.419
819.6409	8.449
767.6951	16.913
778.6918	16.748
819.7266	17.077
768.5625	0.728
578.5867	17.132
927.2663	6.76
804.6107	11.053
908.7051	11.107
881.2528	16.363
633.4345	3.606
732.5543	7.065
872.438	6.431
425.291	2.332
1354.3695	17.159
819.6656	12.658
594.6012	12.023
651.46	4.514
537.1644	6.815
761.605	8.395
724.5728	8.724
786.6005	8.752
689.5854	17.406
902.1058	2.853
902.8073	17.844
1428.3878	17.378
636.5037	12.658
813.1142	11.102
672.6404	15.068
1212.8393	17.515
161.1322	18.419
669.6213	15.04
807.234	15.95
704.212	3.794
651.6077	18.419
1275.1363	15.013
613.3856	2.882
605.4029	2.853
847.672	9.834
557.3226	1.781
626.571	12.685
784.5123	2.606
369.3444	17.406
226.6861	17.433
933.883	19.936
842.4862	3.739
257.2262	18.419
1078.7008	1.781
1447.3981	15.068
1213.8385	17.515
731.2159	15.123
1249.849	17.597
1193.9125	9.826
670.6169	15.013
822.7446	17.488
626.5711	12.794
929.9877	1.056
1233.0412	12.658
880.8331	18.693
421.8261	5.572
1063.8022	17.077
829.5904	11.107
796.7292	17.351
673.5888	18.474
669.4479	4.514
1324.2516	18.392
780.7074	17.597
880.8232	18.419
825.9941	1.781
1151.8655	8.422
567.5729	10.387
980.2785	15.371
1148.8418	7.382
1250.8483	17.597
1250.3486	17.597
510.3552	2.304
1026.2926	16.995
1288.1004	15.013
730.7174	15.095
872.4395	6.321
641.6061	17.981
595.5881	8.834
648.4615	12.849
973.8205	18.611
614.5547	12.658
874.776	17.488
1206.332	16.693
888.8012	17.981
1280.3509	16.94
1368.3832	13.877
853.2473	5.681
1265.8623	3.606
629.1956	3.046
892.8331	18.611
680.2003	1.001
788.5427	6.65
1212.3394	17.515
818.7227	17.488
875.4793	2.441
907.8519	18.748
797.5278	7.396
690.6179	17.68
874.4752	2.855
767.5587	4.432
804.7072	16.83
701.6264	18.419
997.692	4.514
981.2792	15.371
1023.974	18.392
758.551	7.3
1271.1842	15.068
764.676	16.501
866.8174	18.528
538.3692	1.753
770.5623	7.409
737.5628	5.637
151.2423	17.406
844.2432	16.198
774.5651	4.903
1137.8207	17.324
1028.7482	5.626
1196.9357	11.107
829.0025	1.781
650.452	4.514
727.6791	18.474
654.536	6.76
772.5786	8.395
539.368	1.808
791.6101	11.08
776.5802	8.807
773.5521	3.739
701.648	12.849
623.6196	10.387
894.4832	2.386
371.358	18.035
684.6488	15.068
454.246	0.865
758.5394	7.409
761.5643	8.467
777.5413	7.409
754.6916	16.995
920.8644	18.941
1176.3288	17.433
560.1989	1.029
184.0728	0.837
769.726	15.619
833.7421	17.351
811.0989	9.854
705.6007	17.406
1298.3619	12.356
614.5723	23.065
643.6212	18.419
767.5592	4.295
282.279	2.689
1217.3872	17.132
539.5414	8.834
682.649	18.419
1378.9905	5.626
810.745	17.597
610.1843	8.175
676.4549	2.606
987.2033	4.522
1291.4055	17.324
689.6247	17.433
709.5314	17.406
789.6371	9.799
838.7766	17.926
672.5712	16.72
829.8012	18.035
772.2729	12.849
692.625	17.816
1377.9871	5.626
1086.6772	1.781
826.4955	1.781
720.5922	17.488
393.2571	1.89
923.3094	15.813
554.1756	2.441
1150.3234	10.082
421.8262	5.681
759.5939	7.341
657.6214	14.986
783.0675	8.422
1292.404	17.324
370.3614	18.392
697.4795	5.654
350.2389	2.771
767.5586	4.596
697.5536	6.623
812.6041	9.807
539.3388	1.781
779.5575	8.395
595.4027	2.855
913.5982	2.855
1066.3005	17.077
703.6209	17.406
1159.8328	7.341
1364.1267	17.378
789.5945	9.834
821.4925	2.578
586.5399	10.998
948.8962	19.19
775.6784	17.433
781.052	7.368
717.4656	5.654
769.7107	17.269
608.3909	2.882
641.5901	12.74
997.4737	1.029
820.5329	2.523
870.4405	6.431
1218.3854	17.105
650.4982	4.549
374.3766	18.392
814.6192	11.135
910.5896	2.855
822.4855	2.689
175.148	18.419
651.496	4.495
698.2545	11.189
782.5566	7.314
1224.3413	11.189
1162.8564	8.395
1149.3433	7.382
876.4913	2.386
1311.4302	4.514
1289.1038	15.013
1365.1293	17.378
1071.3472	16.61
1249.3492	17.597
935.8835	19.107
684.2034	9.363
797.5835	5.626
641.417	3.579
1207.9268	11.102
766.6917	17.159
799.5431	8.477
