m/z	RT	peak_height	Gaussian_similarity	asymmetry_factor	is_isotope	is_in_source_fragment	charge	MS2	MS2_scan_id
163.0753	16.37	2153	0.0	inf	False	False	1		
163.0754	18.263	1082	0.0	inf	False	False	1		
163.0756	19.474	1233	0.55	0.0	False	False	1		
163.0757	15.313	1414	0.41	99.0	False	False	1		
163.0758	1.211	53234	0.94	1.5	False	False	1		
163.0759	15.218	1867	0.0	inf	False	False	1		
163.0759	15.643	1485	0.0	inf	False	False	1		
163.0759	15.749	1657	0.38	3.0	False	False	1		
163.0761	15.902	2107	0.0	inf	False	False	1		
163.0765	9.053	1420	0.0	inf	False	False	1		
163.0765	16.043	2525	0.81	2.5	False	False	1		
163.0767	19.033	1553	0.71	0.0	False	False	1		
163.0768	0.033	1019	0.0	inf	False	False	1		
163.0774	16.268	1671	0.0	inf	False	False	1		
163.0775	12.877	1290	0.0	inf	False	False	1		
163.0777	8.205	1301	0.69	0.0	False	False	1		
163.0835	1.211	6334	0.0	inf	False	False	1		
163.0947	1.211	2443	0.0	inf	False	False	1		
163.1045	1.211	3047	0.0	inf	False	False	1		
163.1118	3.034	9366	0.86	3.0	False	False	1		
163.1119	1.211	1450	0.0	inf	False	False	1		
163.112	12.55	2524	0.92	99.0	False	False	1		
163.1121	19.462	1021	0.0	inf	False	False	1		
163.114	1.908	1447	0.0	inf	False	False	1		
163.114	11.929	1042	0.0	inf	False	False	1		
163.1212	3.081	1309	0.0	inf	False	False	1		
163.1452	13.526	3716	0.9	0.5	False	False	1		
163.1454	13.278	1303	0.0	inf	False	False	1		
163.1456	14.816	4996	0.0	inf	False	False	1		
163.1461	5.882	8023	0.0	inf	False	False	1		
163.1461	14.937	7836	0.95	99.0	False	False	1		
163.1463	13.018	2638	0.0	inf	False	False	1		
163.1463	13.077	1459	0.0	inf	False	False	1		
163.148	1.258	1501	0.0	inf	False	False	1		
163.1481	3.93	1338	0.0	inf	False	False	1		
163.1485	2.141	14415	0.93	2.0	False	False	1		
163.1485	9.571	1411	0.0	inf	False	False	1		
163.1485	13.479	2038	0.0	inf	False	False	1		
163.1486	12.456	14814	0.9	2.0	False	False	1		
163.1495	16.131	1240	0.65	0.0	False	False	1		
163.1499	2.423	2124	0.0	inf	False	False	1		
163.1558	2.141	1968	0.0	inf	False	False	1		
163.1573	12.456	1840	0.0	inf	False	False	1		
164.0795	1.211	6520	0.91	3.0	False	False	1		
164.1049	2.094	2648	0.0	inf	False	False	1		
164.1074	0.934	1095	0.0	inf	False	False	1		
164.1147	3.081	1387	0.0	inf	False	False	1		
164.1284	18.204	1118	0.0	inf	False	False	1		
164.1296	0.934	2328	0.0	inf	False	False	1		
164.1516	13.526	5112	0.92	1.0	False	False	1		
164.1516	5.882	10408	0.0	inf	False	False	1		
164.1517	14.856	12436	0.93	8.0	False	False	1		
164.1518	2.188	2742	0.0	inf	False	False	1		
164.1518	12.409	2245	0.0	inf	False	False	1		
164.152	13.018	2337	0.0	inf	False	False	1		
164.1521	15.855	2156	0.0	inf	False	False	1		
164.1531	13.278	1675	0.0	inf	False	False	1		
164.157	13.479	1342	0.0	inf	False	False	1		
164.1576	2.188	1107	0.0	inf	False	False	1		
164.9195	18.481	1509	0.0	inf	False	False	1		
164.9195	15.513	1642	0.0	inf	False	False	1		
164.9196	19.074	1245	0.0	inf	False	False	1		
164.9198	17.631	1583	0.0	inf	False	False	1		
164.9199	18.521	1148	0.64	99.0	False	False	1		
164.9202	18.162	1138	0.0	inf	False	False	1		
164.9205	16.823	2112	0.0	inf	False	False	1		
164.9205	17.345	1764	0.59	0.5	False	False	1		
164.9208	19.486	1419	0.64	99.0	False	False	1		
164.9209	16.334	1658	0.0	inf	False	False	1		
164.9211	16.693	1951	0.0	inf	False	False	1		
164.9212	18.263	1732	0.0	inf	False	False	1		
164.9212	17.955	1234	0.0	1.0	False	False	1		
164.9213	0.147	1057	0.0	inf	False	False	1		
164.9214	18.804	1269	0.0	inf	False	False	1		
164.9216	17.011	2121	0.86	4.0	False	False	1		
164.9216	0.782	1101	0.0	inf	False	False	1		
164.9216	17.186	1543	0.0	inf	False	False	1		
164.9217	19.121	1308	0.0	inf	False	False	1		
164.9219	17.826	1425	0.0	inf	False	False	1		
164.9219	17.457	1135	0.0	inf	False	False	1		
164.922	16.091	1298	0.0	inf	False	False	1		
164.922	18.092	1580	0.0	inf	False	False	1		
164.9225	17.531	1273	0.0	inf	False	False	1		
165.0705	4.308	4298	0.83	1.0	False	False	1		
165.0707	13.183	10480	0.96	1.5	False	False	1		
165.079	13.183	1545	0.0	inf	False	False	1		
165.0904	1.861	1196	0.0	inf	False	False	1		
165.0907	16.168	1227	0.0	inf	False	False	1		
165.0909	1.211	2099	0.0	inf	False	False	1		
165.0909	3.647	1367	0.0	inf	False	False	1		
165.091	1.072	2761	0.0	inf	False	False	1		
165.0912	4.025	1832	0.0	inf	False	False	1		
165.0915	4.443	1076	0.0	inf	False	False	1		
165.0917	13.018	1386	0.0	inf	False	False	1		
165.0918	8.347	1535	0.54	0.0	False	False	1		
165.092	9.712	1290	0.0	inf	False	False	1		
165.0921	15.36	1448	0.0	inf	False	False	1		
165.0925	12.163	1017	0.0	inf	False	False	1		
165.0925	3.034	1490	0.0	inf	False	False	1		
165.1022	0.98	1322	0.0	inf	False	False	1		
165.1114	17.274	1150	0.0	inf	False	False	1		
165.1116	3.317	1346	0.0	inf	False	False	1		
165.1119	18.352	1402	0.0	inf	False	False	1		
165.1129	11.929	1313	0.0	inf	False	False	1		
165.113	7.969	1395	0.0	inf	False	False	1		
165.1135	6.477	1633	0.0	inf	False	False	1		
165.1135	18.481	2856	0.24	1.1	False	False	1		
165.1136	9.006	1804	0.0	inf	False	False	1		
165.1137	11.457	1538	0.0	inf	False	False	1		
165.1137	8.158	1694	0.0	inf	False	False	1		
165.114	11.315	1130	0.0	inf	False	False	1		
165.1141	9.241	1615	0.0	inf	False	False	1		
165.1142	19.663	1887	0.49	0.0	False	False	1		
165.1143	10.419	1898	0.55	1.5	False	False	1		
165.1143	19.965	2126	0.0	0.0	False	False	1		
165.1143	8.489	1591	0.0	inf	False	False	1		
165.1143	19.729	1619	0.0	inf	False	False	1		
165.1143	0.564	2488	0.12	6.0	False	False	1		
165.1145	12.269	1398	0.0	inf	False	False	1		
165.1145	8.817	1613	0.0	inf	False	False	1		
165.1146	9.336	1251	0.3	99.0	False	False	1		
165.1269	1.258	1416	0.0	inf	False	False	1		
165.127	2.188	1589	0.87	2.0	False	False	1		
165.163	15.265	1240	0.0	inf	False	False	1		
165.1632	5.882	4383	0.0	inf	False	False	1		
165.164	14.983	4358	1.0	99.0	False	False	1		
165.1642	12.596	6547	0.91	1.67	False	False	1		
165.1642	13.479	2149	0.0	inf	False	False	1		
165.1642	12.971	2311	0.0	inf	False	False	1		
165.1644	12.363	1929	0.69	1.0	False	False	1		
165.1645	14.725	2317	0.0	inf	False	False	1		
165.1646	2.141	5071	0.0	inf	False	False	1		
166.0636	1.674	3705	0.0	inf	False	False	1		
166.0725	4.167	1006	0.0	inf	False	False	1		
166.0734	13.183	1125	0.0	inf	False	False	1		
166.0868	0.934	1836	0.0	inf	False	False	1		
166.0877	0.922	1049	0.0	inf	False	False	1		
166.0969	0.647	1397	0.0	inf	False	False	1		
166.0986	19.132	1074	0.0	inf	False	False	1		
166.0986	16.886	1368	0.0	inf	False	False	1		
166.1231	0.98	2121	0.0	inf	False	False	1		
167.0008	15.996	1120	0.66	0.0	False	False	1		
167.0342	2.611	248795	0.94	2.0	False	False	1		
167.0422	2.611	29431	0.94	4.0	False	False	1		
167.0534	2.751	1893	0.0	inf	False	False	1		
167.0552	1.399	5366	0.0	inf	False	False	1		
167.0554	4.025	1173	0.0	inf	False	False	1		
