m/z	RT	peak_height	Gaussian_similarity	asymmetry_factor	is_isotope	is_in_source_fragment	charge	MS2	MS2_scan_id
160.1336	0.935	2887	0.0	inf	False	False	1		
161.0959	16.329	1048	0.0	inf	False	False	1		
161.0963	12.446	6074	0.0	inf	False	False	1		
161.0966	3.022	2030	0.85	99.0	False	False	1		
161.097	1.178	1764	0.0	inf	False	False	1		
161.0971	0.606	1201	0.0	inf	False	False	1		
161.1321	9.699	1906	0.0	inf	False	False	1		
161.1322	10.118	1167	0.0	inf	False	False	1		
161.1323	9.229	1569	0.0	inf	False	False	1		
161.1325	14.515	26917	0.92	99.0	False	False	1		
161.1326	14.398	19678	0.0	inf	False	False	1		
161.1328	14.934	10687	0.92	1.67	False	False	1		
161.1328	12.538	37054	0.97	1.0	False	False	1		
161.1328	1.225	2006	0.83	1.0	False	False	1		
161.1329	9.322	1420	0.0	inf	False	False	1		
161.133	9.04	1134	0.0	inf	False	False	1		
161.133	15.263	3709	0.88	4.0	False	False	1		
161.1332	8.523	1137	0.0	inf	False	False	1		
161.1338	2.388	1331	0.68	0.0	False	False	1		
161.1342	9.837	1469	0.0	inf	False	False	1		
161.1414	12.582	4577	0.92	0.25	False	False	1		
161.1586	12.538	2323	0.0	inf	False	False	1		
161.3114	5.102	6570	0.0	inf	False	False	1		
161.4298	5.102	7769	0.0	inf	False	False	1		
162.1123	1.085	1668	0.0	inf	False	False	1		
162.1131	0.947	9131	0.0	inf	False	False	1		
162.1212	0.947	1091	0.0	inf	False	False	1		
162.1289	0.947	1049	0.0	inf	False	False	1		
162.1356	15.216	1343	0.0	inf	False	False	1		
162.136	12.538	5161	0.91	1.0	False	False	1		
162.1393	13.475	1338	0.0	inf	False	False	1		
163.0734	11.26	1168	0.51	99.0	False	False	1		
163.074	15.169	1589	0.0	inf	False	False	1		
163.0741	16.018	1866	0.45	1.0	False	False	1		
163.0744	18.631	1167	0.0	inf	False	False	1		
163.0745	13.429	1101	0.0	inf	False	False	1		
163.0746	4.203	1159	0.66	99.0	False	False	1		
163.0752	15.559	1325	0.15	3.0	False	False	1		
163.0753	15.735	2248	0.65	3.0	False	False	1		
163.0755	1.225	42956	0.96	2.0	False	False	1		
163.0756	16.205	2423	0.9	0.67	False	False	1		
163.0758	16.452	1666	0.0	0.2	False	False	1		
163.0758	17.449	1000	0.0	inf	False	False	1		
163.076	18.86	1173	0.0	inf	False	False	1		
163.076	3.401	1209	0.0	inf	False	False	1		
163.0763	10.509	1184	0.0	inf	False	False	1		
163.0763	19.648	1011	0.0	inf	False	False	1		
163.0763	18.73	1156	0.0	inf	False	False	1		
163.0763	2.342	1069	0.0	inf	False	False	1		
163.0767	17.16	1366	0.0	inf	False	False	1		
163.0772	18.993	1412	0.0	inf	False	False	1		
163.0774	9.462	1012	0.0	inf	False	False	1		
163.0774	15.453	1313	0.0	inf	False	False	1		
163.0835	1.225	5947	0.0	inf	False	False	1		
163.1015	1.225	2707	0.0	inf	False	False	1		
163.1111	13.287	1031	0.0	inf	False	False	1		
163.1113	12.538	2423	0.75	0.0	False	False	1		
163.1116	3.022	9319	0.0	inf	False	False	1		
163.1117	2.2	1068	0.0	inf	False	False	1		
163.1122	1.178	1747	0.74	0.5	False	False	1		
163.1207	3.022	1235	0.0	inf	False	False	1		
163.1401	1.225	1382	0.0	inf	False	False	1		
163.145	13.24	1431	0.0	inf	False	False	1		
163.1455	13.523	2778	0.0	inf	False	False	1		
163.1456	14.934	6380	0.0	inf	False	False	1		
163.1457	5.846	7088	0.0	inf	False	False	1		
163.1462	14.854	7213	0.0	inf	False	False	1		
163.1462	15.122	1585	0.0	inf	False	False	1		
163.1473	11.977	1329	0.73	0.0	False	False	1		
163.1479	1.225	1369	0.0	inf	False	False	1		
163.1483	9.651	1360	0.76	0.0	False	False	1		
163.1485	12.446	9295	0.83	2.17	False	False	1		
163.1486	2.152	14348	0.95	1.5	False	False	1		
163.1491	8.275	1232	0.0	inf	False	False	1		
163.1546	2.106	2039	0.0	inf	False	False	1		
164.0707	0.947	1029	0.0	inf	False	False	1		
164.0793	1.225	6970	0.0	inf	False	False	1		
164.0884	1.225	1161	0.0	inf	False	False	1		
164.1038	2.152	2682	0.0	inf	False	False	1		
164.1077	1.178	1023	0.0	inf	False	False	1		
164.1169	3.07	1651	0.0	inf	False	False	1		
164.1288	0.935	1847	0.0	inf	False	False	1		
164.1507	13.523	4674	0.75	1.0	False	False	1		
164.151	13.192	2008	0.0	inf	False	False	1		
164.1511	12.399	1498	0.0	inf	False	False	1		
164.1512	5.846	6710	0.0	inf	False	False	1		
164.1513	14.934	11365	0.91	1.67	False	False	1		
164.1515	12.956	2362	0.0	inf	False	False	1		
164.1519	15.925	1340	0.0	inf	False	False	1		
164.1532	2.152	1364	0.0	inf	False	False	1		
164.9195	16.834	1099	0.0	inf	False	False	1		
164.9197	16.99	1271	0.0	inf	False	False	1		
164.9198	15.972	1122	0.0	inf	False	False	1		
164.92	19.844	1096	0.0	inf	False	False	1		
164.92	18.251	1484	0.36	2.0	False	False	1		
164.92	17.276	1839	0.0	inf	False	False	1		
164.9202	0.144	1117	0.55	99.0	False	False	1		
164.9205	17.597	1774	0.0	inf	False	False	1		
164.9206	17.115	1082	0.0	inf	False	False	1		
164.9208	17.19	1620	0.0	inf	False	False	1		
164.9208	17.73	1489	0.0	inf	False	False	1		
164.9208	17.918	1484	0.0	inf	False	False	1		
164.9209	18.468	1993	0.4	1.0	False	False	1		
164.9209	17.479	1177	0.0	inf	False	False	1		
164.9209	16.937	1466	0.0	inf	False	False	1		
164.921	16.534	1105	0.68	0.0	False	False	1		
164.9211	15.405	1779	0.0	inf	False	False	1		
164.9215	16.697	1637	0.27	1.0	False	False	1		
164.9217	18.042	1567	0.0	inf	False	False	1		
164.9218	16.205	1789	0.0	inf	False	False	1		
164.9219	17.334	1126	0.0	inf	False	False	1		
164.9223	19.119	1349	0.46	0.0	False	False	1		
164.9224	0.606	1139	0.0	inf	False	False	1		
165.0538	16.12	1302	0.0	inf	False	False	1		
165.0698	13.192	9752	0.0	inf	False	False	1		
165.0705	4.298	3458	0.93	0.33	False	False	1		
165.0778	13.192	1768	0.0	inf	False	False	1		
165.0793	4.298	1067	0.0	inf	False	False	1		
165.0897	0.26	1223	0.0	inf	False	False	1		
165.0909	15.453	1212	0.68	99.0	False	False	1		
165.091	8.133	1815	0.0	inf	False	False	1		
165.0912	15.31	1515	0.0	inf	False	False	1		
165.0913	16.297	1040	0.0	inf	False	False	1		
165.0916	1.178	2165	0.0	inf	False	False	1		
165.0922	1.319	1861	0.0	inf	False	False	1		
165.0923	12.862	1292	0.0	inf	False	False	1		
165.0924	3.731	1193	0.0	inf	False	False	1		
165.1115	13.145	1021	0.0	inf	False	False	1		
165.112	3.259	1300	0.0	inf	False	False	1		
165.1126	8.086	1625	0.0	inf	False	False	1		
165.1128	7.897	2314	0.0	inf	False	False	1		
165.1129	2.482	1391	0.31	0.33	False	False	1		
165.113	8.523	2422	0.0	inf	False	False	1		
165.113	11.307	1470	0.0	inf	False	False	1		
165.1131	11.448	1847	0.0	inf	False	False	1		
165.1132	4.345	2316	0.0	inf	False	False	1		
165.1132	3.637	1539	0.74	1.0	False	False	1		
165.1132	5.57	1837	0.0	inf	False	False	1		
165.1133	4.108	1701	0.0	inf	False	False	1		
165.1133	9.04	1698	0.37	2.0	False	False	1		
165.1134	2.975	1403	0.98	1.0	False	False	1		
165.1135	2.541	1828	0.0	inf	False	False	1		
165.1137	0.595	2823	0.12	0.2	False	False	1		
165.1138	4.487	2092	0.0	inf	False	False	1		
165.1138	9.322	1358	0.0	inf	False	False	1		
165.1138	2.833	1833	0.37	0.33	False	False	1		
165.114	9.51	2070	0.88	1.5	False	False	1		
165.114	6.528	1614	0.0	inf	False	False	1		
165.1141	3.448	1678	0.91	1.0	False	False	1		
165.1141	4.629	1765	0.77	99.0	False	False	1		
165.1142	12.258	1029	0.0	inf	False	False	1		
165.1142	11.871	1013	0.0	inf	False	False	1		
165.1142	10.305	1656	0.44	1.0	False	False	1		
165.1148	3.967	1559	0.0	inf	False	False	1		
