m/z	RT
838.6337	8.172
786.658	8.718
758.6263	6.124
786.6579	7.364
799.5692	3.633
895.7595	13.372
1223.347	9.657
1356.2576	13.514
803.6008	3.962
666.6723	14.651
706.5951	6.198
1194.8196	4.959
784.6424	6.263
847.797	13.87
900.8599	14.298
803.6928	11.683
279.1596	2.609
617.6415	9.993
837.7752	14.342
1017.9381	14.569
497.3719	1.55
1485.1397	5.702
745.5949	6.872
923.7908	14.034
848.8295	14.245
744.5915	7.827
800.5807	3.444
782.6262	5.745
717.5919	6.38
859.6652	5.143
932.8658	15.111
726.66	13.211
369.3524	15.279
806.6272	5.284
920.7721	13.692
843.585	3.021
758.6264	5.878
850.2525	4.022
786.6576	7.514
690.6718	14.343
846.8136	13.864
799.6703	9.568
546.3562	1.457
876.8599	14.575
1382.1952	12.533
729.6793	13.505
672.5811	12.537
914.8028	13.912
800.5814	3.256
770.6068	6.919
785.6404	6.286
853.8021	14.467
771.6456	5.375
812.6186	5.372
693.6385	14.651
874.846	14.343
881.8378	15.108
924.2722	4.91
810.5994	6.194
1438.0918	6.035
819.596	3.915
865.8066	14.698
724.6081	7.366
1384.1405	12.528
757.5586	5.048
887.7831	13.829
1486.1425	5.701
811.6056	6.656
889.7986	14.132
1385.144	12.528
648.4957	11.118
835.7597	13.998
836.6095	6.609
789.6118	7.421
523.5781	6.785
899.8289	13.993
916.8179	14.249
898.8434	13.989
582.4253	1.965
508.3771	1.872
872.831	13.87
1082.1337	6.785
671.7082	14.884
1310.254	14.884
773.5902	6.657
706.5396	5.563
676.681	3.315
836.618	7.651
970.6772	1.674
1149.3283	8.387
840.6245	5.046
1106.06	6.869
758.6267	7.286
594.6026	11.535
812.6714	7.747
724.6444	12.618
796.5866	6.376
826.5972	4.199
823.5693	3.069
682.4883	6.701
480.3456	1.718
1371.195	12.585
1372.1986	12.585
370.3562	14.912
858.7562	13.737
1280.216	14.912
583.5551	5.142
785.5804	5.651
798.5875	2.609
868.7407	13.419
792.5916	6.337
525.4044	1.965
836.6179	7.145
622.544	9.758
850.8417	14.467
1298.3654	11.306
714.6599	13.505
815.7557	12.059
744.5553	5.33
952.8986	15.862
796.5485	3.162
1405.1921	12.483
878.8722	14.802
896.8454	14.426
1342.2245	14.651
1359.2708	13.514
1341.2208	14.651
776.2339	3.268
449.3383	2.631
766.656	7.193
794.6074	7.747
1022.6649	6.308
934.7994	12.712
768.5642	5.834
299.2587	13.514
295.2274	12.758
797.6265	8.078
876.8546	14.209
767.6966	13.419
746.5711	6.376
582.5516	6.169
1315.2716	14.574
879.7495	12.295
928.7626	12.025
167.0342	2.609
669.6309	14.608
925.2726	4.91
685.6332	13.22
832.5867	5.415
554.3937	1.538
774.6023	7.874
1439.0954	6.019
851.2536	4.022
1018.9415	14.575
1299.2499	14.912
806.5685	6.286
813.7387	10.593
810.654	7.053
849.7662	13.87
807.6098	5.278
844.6554	7.453
714.6198	14.17
1195.8229	4.959
894.757	13.56
809.6545	7.501
788.6762	8.656
932.7839	12.398
876.844	14.21
497.3922	1.582
527.4371	1.629
842.6395	6.104
834.5997	7.779
815.6369	8.864
816.7093	13.172
928.7625	12.211
878.702	11.734
901.8675	14.291
685.6333	13.002
1188.3551	8.387
1262.3756	9.657
489.4425	13.692
696.594	12.248
1263.3739	9.657
