m/z,RT,RI,RI_uncertainty,RI_reliability,RI_spread,n_contributing,is_extrapolated,calibration_scope,warp_source
804.6598,9.2,46.94901787316303,0.5069942320084153,high,,1,False,project,self
906.2589,14.802,79.19088597540889,0.43751150070541506,high,,1,False,project,self
555.5113,16.471,88.72669002891747,0.6447660769434747,medium,,1,False,project,self
869.7653,17.327,93.60884886764194,0.37219018175365304,high,,1,False,project,self
886.6989,11.564,60.64186815041447,0.4834802235312606,high,,1,False,project,self
650.5803,6.411,32.04108085745863,0.9995211231095072,medium,,1,False,project,self
814.6772,11.897,62.46772000322069,0.5851130330765915,high,,1,False,project,self
736.6456,16.504,88.91403263169903,0.6289953142216478,medium,,1,False,project,self
800.6237,7.668,38.24204214466871,0.6508611080474843,medium,,1,False,project,self
812.5806,4.587,20.52097793538997,0.7761716587346057,medium,,1,False,project,self
759.648,14.967,80.14811411337068,0.43309241106835156,high,,1,False,project,self
340.2396,2.414,7.491517977665554,1.7657868319303212,medium,,1,False,project,self
577.5747,17.27,93.28155906338633,0.37321439468908624,high,,1,False,project,self
574.5558,16.092,86.57605588571369,0.7149020678310064,medium,,1,False,project,self
672.5932,6.711,33.614709180655886,0.9416289890853988,medium,,1,False,project,self
696.6504,16.085,86.53632741204221,0.7114087940165338,medium,,1,False,project,self
717.5429,9.778,50.20637145199786,0.4334940855943076,high,,1,False,project,self
561.5068,18.502,,,none,,1,True,project,self
713.5915,10.134,52.29226933117951,0.44262522316286723,high,,1,False,project,self
703.5548,14.334,76.44972929605011,0.5258318705119011,high,,1,False,project,self
1439.2315,15.214,81.57083528598555,0.42539027613219893,high,,1,False,project,self
1074.8227,16.174,87.0413822301244,0.7562154584124047,medium,,1,False,project,self
919.7423,9.091,46.34338486982566,0.5288155377043057,high,,1,False,project,self
846.7185,16.559,89.22634767351649,0.60311973674112,medium,,1,False,project,self
900.681,7.777,38.86476758959704,0.6197302842490691,medium,,1,False,project,self
843.668,11.647,61.098801259815616,0.484674648396985,high,,1,False,project,self
786.6734,12.646,66.60284971428551,0.4993077796925024,high,,1,False,project,self
804.7082,18.859,,,none,,1,True,project,self
570.4884,23.121,,,none,,1,True,project,self
1054.2981,22.836,,,none,,1,True,project,self
934.734,11.07,57.867818240203896,0.47641834820674783,high,,1,False,project,self
579.5488,8.981,45.73299403746873,0.48367313654361677,high,,1,False,project,self
770.5928,15.078,80.78863607472181,0.42974730388290244,high,,1,False,project,self
700.6884,23.121,,,none,,1,True,project,self
767.6958,19.996,,,none,,1,True,project,self
964.7673,16.202,87.20025455124542,0.7704753070151646,medium,,1,False,project,self
819.7124,12.839,67.70103696832825,0.49599256368454225,high,,1,False,project,self
847.5531,3.459,15.274489015123804,1.7137325107222396,medium,,1,False,project,self
873.5677,2.167,5.18755865271274,1.7657868319303212,medium,,1,False,project,self
1205.8158,6.574,32.94266449459472,0.9849063905163524,medium,,1,False,project,self
844.7394,23.519,,,none,,1,True,project,self
686.6448,18.804,,,none,,1,True,project,self
706.562,16.444,88.57343170833354,0.6577949239628929,medium,,1,False,project,self
796.6814,15.46,82.9797464778212,0.4378393291184997,high,,1,False,project,self
857.7358,16.559,89.22634767351649,0.60311973674112,medium,,1,False,project,self
916.7092,8.947,45.54436217987193,0.47056292233943914,high,,1,False,project,self
769.5656,2.688,9.863351354608875,1.7657868319303212,medium,,1,False,project,self
657.5068,5.639,26.615527649685518,0.7218259996498815,medium,,1,False,project,self
383.3308,6.135,30.17075079654303,0.8981609561007055,medium,,1,False,project,self
1012.8751,17.572,95.02024689642346,0.37076178714814767,high,,1,False,project,self
