m/z	RT	isotope_state	is_isotope	is_in_source_fragment	MS2	P_RT-A1	P_RT-A2
200.1025	16.801	M+0	False	False		3069	2760
562.5678	8.44	M+0	False	False		2760	2475
537.5368	3.95	M+0	False	False		3454	2759
954.832	14.462	M+0	False	False		2758	2887
936.8245	16.173	M+0	False	False		2576	2757
1296.3604	12.199	M+0	False	False		1366	2756
804.6078	4.793	M+1	True	False		2743	2754
827.7148	14.176	M+0	False	False		1877	2754
689.4596	1.587	M+0	False	False		3317	2752
915.6995	13.522	M+0	False	False		1765	2752
399.2508	14.699	M+0	False	False		2752	3322
445.1204	13.239	M+0	False	False		1167	2751
1198.1941	15.503	M+1	True	False		3109	2750
628.1946	15.431	M+0	False	False		2750	2096
992.8295	13.008	M+0	False	False		2749	3500
855.517	3.917	M+1	True	False		2068	2748
665.629	8.344	M+0	False	False		2747	2382
876.5298	2.272	M+0	False	False		2746	2442
899.7568	13.333	M+0	False	False		0	2745
903.9816	14.554	M+0	False	False		2756	2745
566.5718	13.363	M+0	False	False		2745	2573
724.516	7.8	M+0	False	False		1469	2743
767.5649	12.045	M+0	False	False		1330	2743
1275.1774	14.696	M+0	False	False		0	2742
898.8478	13.712	M+0	False	False		2111	2741
1369.8805	13.333	M+0	False	False		3792	2740
669.683	15.28	M+0	False	False		1656	2738
1460.095	15.58	M+0	False	False		2737	2453
813.0366	4.605	M+0	False	False		1659	2737
432.2814	19.682	M+0	False	False		2565	2736
722.5037	17.949	M+0	False	False		2736	2351
807.5542	3.075	M+1	True	False		3089	2736
878.7269	13.806	M+0	False	False		5737	2736
1013.3088	8.286	M+0	False	False		1241	2735
803.5261	4.191	M+0	False	False		2718	2733
838.5493	2.328	M+0	False	False		3096	2733
461.3618	17.866	M+0	False	False		3050	2731
1461.1029	15.49	M+0	False	False		2731	2652
619.5905	6.462	M+0	False	False		2851	2729
1075.9191	16.049	M+0	False	False		2535	2728
900.7367	13.314	M+0	False	False		2727	5331
898.789	12.59	M+0	False	False		3256	2725
531.4096	0.321	M+0	False	False		2724	2358
856.513	3.95	M+2	True	False		3924	2722
684.5738	13.851	M+0	False	False		2721	2821
284.3331	9.424	M+0	False	False		2682	2719
766.5337	13.085	M+0	False	False		3167	2719
564.3604	3.028	M+0	False	False		1668	2716
439.3058	1.587	M+0	False	False		2946	2713
701.4112	11.318	M+0	False	False		2713	1961
794.591	2.84	M+0	False	False		2184	2712
283.1767	0.309	M+0	False	False		2710	2019
715.615	15.654	M+0	False	False		2710	1297
458.3484	13.665	M+0	False	False		2817	2709
902.8351	15.893	M+0	False	False		2709	2367
889.3163	12.14	M+1	True	False		2708	2501
239.149	4.18	M+0	False	False		2708	1597
1318.115	13.613	M+2	True	False		2706	1951
737.5038	5.851	M+0	False	False		2706	1174
742.6831	13.363	M+2	True	False		2705	2118
642.6039	15.765	M+0	False	False		3044	2705
614.5726	15.857	M+0	False	False		2703	2598
688.3758	4.029	M+0	False	False		2702	2130
538.5372	15.813	M+0	False	False		2702	2057
877.727	15.332	M+0	False	False		2700	2850
943.9951	17.508	M+0	False	False		2239	2700
836.4628	4.558	M+0	False	False		3931	2699
877.7222	15.857	M+0	False	False		2699	1946
721.6285	13.57	M+0	False	False		2574	2697
922.0698	13.02	M+0	False	False		2697	2450
461.3603	4.605	M+0	False	False		3315	2696
317.3251	19.989	M+0	False	False		2694	2451
917.7012	15.975	M+0	False	False		2440	2693
