m/z	RT
689.566	14.038
786.6024	7.218
991.6013	1.349
371.3594	14.938
843.5838	3.028
643.7416	12.542
648.4635	11.095
459.7772	1.579
952.7761	12.932
792.7921	10.441
393.2585	1.484
776.234	3.24
856.5129	1.767
877.8063	14.507
378.7548	1.484
1101.3147	13.286
875.7912	14.222
1212.1777	11.856
1028.794	13.085
878.4907	1.72
1026.7949	13.085
1338.3931	11.298
1355.373	13.428
916.7668	12.789
820.6459	7.173
1139.3236	13.381
1322.4673	14.938
897.7751	13.665
394.7678	1.484
991.7847	12.991
457.3053	1.264
874.4775	2.046
1281.354	13.239
893.492	1.673
966.2987	4.924
1102.8135	13.286
367.3369	14.602
1299.3643	11.298
510.3564	1.767
683.631	12.454
710.6465	13.901
906.2613	11.951
1074.066	7.521
684.2045	7.287
1213.3419	13.57
1322.4548	14.854
1484.432	12.151
790.7773	8.668
780.5528	5.757
460.2758	1.579
816.6239	5.757
760.7273	5.939
1176.3332	13.475
1269.2401	12.454
1138.3234	13.381
844.4868	2.772
184.1037	1.035
651.4397	3.493
772.5502	3.417
1058.2975	12.636
786.6023	7.403
851.2537	4.027
1139.8232	13.381
774.5655	3.17
1342.9476	13.286
450.2923	1.484
1075.3085	7.149
1176.8326	13.475
850.6919	10.549
1190.3543	8.403
609.5741	12.454
759.5316	5.947
1063.8048	13.192
671.6392	12.901
875.4813	1.813
707.4923	6.693
355.4503	1.813
840.5129	1.821
1335.3933	11.298
791.5667	10.412
761.5145	7.082
1486.4308	12.151
1382.2193	13.993
185.0769	1.026
1334.2562	15.081
1212.8425	13.57
651.4172	3.463
1000.2898	5.988
1321.0958	14.896
761.5456	7.104
721.557	6.693
917.2654	12.837
790.5602	3.075
1448.4014	12.151
891.2788	4.027
873.7755	13.948
954.7752	12.932
762.7426	7.104
1195.8236	4.957
1333.2533	15.033
653.5816	5.282
1323.3187	14.896
476.2804	0.991
692.6174	14.038
852.2522	4.027
789.5499	8.704
1130.1284	9.254
651.6091	14.938
1213.8419	13.57
983.2794	12.363
421.8279	4.496
456.3038	1.035
643.57	12.454
1207.3347	13.085
910.5177	1.035
664.4557	2.179
